id,city,hour,is_workday,weather,temp_1,temp_2,wind,y
157,1,9,1,2,15.0,15.4,2,72
158,0,7,1,1,26.5,28.7,0,122
159,0,23,1,1,3.7,1.4,0,15
160,1,9,0,1,1.1,0.7,0,32
161,1,3,0,1,3.3,-2.0,3,9
162,0,18,1,1,28.1,31.4,2,201
163,0,16,0,1,21.2,25.1,2,183
164,1,18,1,2,21.8,21.7,2,106
165,0,1,1,1,12.1,12.4,0,5
166,1,20,1,3,27.1,30.3,2,97
167,1,3,1,2,7.6,7.6,0,0
168,1,11,0,1,28.4,29.7,2,87
169,0,7,0,1,17.3,17.9,2,17
170,1,12,1,1,21.1,25.0,2,64
171,1,15,1,2,14.5,14.9,0,64
172,1,10,1,1,13.3,13.7,4,39
173,1,8,1,1,-1.8,-6.4,1,53
174,1,20,1,1,11.3,11.5,0,51
175,0,1,1,1,24.3,26.3,0,10
176,1,2,0,1,-1.8,-2.4,0,4
177,1,5,0,1,4.6,4.4,0,1
178,1,7,0,1,-4.4,-10.2,1,1
179,0,20,1,1,18.1,18.8,2,105
180,0,1,0,2,3.7,2.5,0,23
181,0,7,1,2,6.1,6.0,0,89
182,1,16,1,1,24.6,26.7,1,93
183,0,16,1,1,11.0,11.2,1,70
184,1,1,0,1,22.5,25.4,0,27
185,1,21,1,1,7.2,6.2,0,18
186,1,23,1,1,20.7,19.6,0,44
187,0,23,1,2,21.7,21.6,0,25
188,0,3,1,2,4.6,0.4,2,0
189,0,8,0,1,2.0,1.7,0,25
190,1,16,1,1,23.8,25.8,3,87
191,1,19,1,1,22.7,24.7,2,114
192,0,13,1,1,29.4,35.8,1,59
193,1,16,0,1,36.4,42.2,1,66
194,1,7,0,1,1.8,-1.6,1,3
195,1,15,1,1,32.8,36.4,0,49
196,1,12,1,2,7.5,4.5,2,26
197,0,17,1,2,27.1,28.3,2,206
198,0,19,1,1,24.8,25.9,2,153
199,0,1,1,1,25.3,27.4,2,7
200,0,14,0,1,19.7,24.5,1,169
201,1,13,1,2,12.2,12.5,1,54
202,0,4,1,1,-2.4,-5.0,0,0
203,0,0,1,1,8.9,6.0,2,7
204,1,19,0,1,16.9,17.5,3,69
205,1,18,1,1,18.6,19.3,2,124
206,1,10,1,2,6.6,4.6,1,23
207,0,23,1,1,21.8,24.7,2,25
208,0,11,1,1,10.9,11.1,2,63
209,1,0,0,3,22.7,23.7,2,27
210,0,6,0,1,-3.2,-6.9,0,2
211,0,20,0,1,25.0,28.1,0,48
212,1,5,0,2,22.4,22.3,1,1
213,0,4,0,2,3.3,0.0,0,0
214,1,3,1,1,8.8,6.9,1,1
215,0,16,1,1,19.0,19.7,2,130
216,1,15,1,1,19.8,24.6,0,42
217,0,12,1,1,31.5,31.0,2,69
218,1,9,1,2,17.9,18.5,2,62
219,1,3,0,1,-0.2,-3.7,1,5
220,1,14,0,3,16.5,17.1,5,18
221,0,16,0,1,9.0,9.1,0,71
222,1,6,1,1,1.8,1.4,0,12
223,0,22,0,1,25.2,28.3,1,56
224,0,20,1,1,21.2,25.1,1,85
225,1,4,0,1,20.2,20.0,0,1
226,1,8,1,2,17.1,17.7,3,121
227,0,16,1,3,25.1,27.2,0,70
228,0,18,1,1,17.0,17.6,1,216
229,0,3,1,1,16.2,16.8,0,1
230,1,17,0,2,16.4,17.0,1,60
231,1,18,1,1,7.8,4.8,2,114
232,1,2,1,1,21.3,21.2,1,6
233,1,18,1,1,20.1,22.9,2,146
234,1,19,0,2,10.1,10.2,1,39
235,0,8,1,2,12.2,12.5,2,192
236,0,6,1,1,9.0,7.1,1,39
237,0,7,1,1,20.0,24.8,2,117
238,1,13,1,1,32.8,36.4,0,46
239,0,14,1,1,32.9,36.5,1,48
240,1,2,1,1,18.7,19.4,0,3
241,0,7,0,3,16.1,16.7,1,8
242,0,20,1,1,20.0,24.8,1,89
243,1,15,1,3,5.3,1.1,2,21
244,0,13,1,2,14.0,14.4,0,66
245,0,7,0,2,2.3,-3.0,2,11
246,1,8,1,2,8.4,4.4,2,76
247,1,15,1,1,32.3,39.9,3,43
248,1,6,1,1,19.1,19.8,0,33
249,0,6,1,1,2.6,-1.7,2,31
250,0,17,1,1,22.6,24.6,1,206
251,0,5,0,1,25.2,28.3,2,4
252,1,14,1,1,34.0,34.7,2,47
253,0,11,1,3,7.3,6.3,0,17
254,0,5,0,3,1.9,-1.4,1,0
255,1,20,0,1,25.0,27.1,2,58
256,0,15,0,1,10.8,11.0,2,84
257,1,9,0,1,10.8,11.0,2,40
258,0,15,1,2,16.1,16.7,2,51
259,0,10,1,1,22.1,24.0,0,45
260,1,8,0,1,11.1,11.3,2,12
261,1,10,0,1,27.0,29.2,2,91
262,1,21,1,1,13.3,13.7,0,37
263,0,17,1,2,11.2,11.5,1,157
264,1,21,0,1,25.3,30.5,0,40
265,1,12,1,3,13.2,13.6,0,16
266,1,12,0,3,3.8,-2.5,4,15
267,0,1,0,1,26.1,29.3,0,20
268,0,1,1,1,18.5,19.2,1,6
269,0,4,1,2,1.0,-1.4,0,0
270,0,3,1,2,4.1,0.9,2,0
271,0,23,1,2,18.3,19.0,2,19
272,0,21,0,1,26.0,29.2,0,46
273,1,12,1,3,17.5,18.1,4,34
274,0,0,0,3,2.8,0.5,0,2
275,1,13,1,2,1.0,-1.4,0,15
276,1,22,1,1,16.6,17.2,0,45
277,0,16,1,2,11.3,11.5,1,87
278,0,15,1,2,21.1,24.0,0,113
279,0,19,1,3,6.8,3.8,2,22
280,0,19,0,1,24.7,27.8,2,46
281,0,1,0,2,6.6,3.6,2,17
282,1,16,1,1,31.0,34.5,0,84
283,1,22,1,1,9.4,9.5,2,28
284,1,11,1,1,-0.9,-1.4,0,15
285,0,2,0,1,8.6,5.7,2,17
286,0,9,1,1,7.2,6.2,0,63
287,1,19,1,1,24.7,27.8,2,109
288,0,15,1,1,21.6,23.5,2,100
289,1,13,0,1,10.0,10.1,3,46
290,0,18,0,1,4.5,-0.7,3,36
291,1,4,1,1,8.2,5.2,2,2
292,1,13,1,1,24.2,26.2,0,64
293,1,0,0,1,16.3,16.9,0,29
294,1,0,1,1,4.3,4.1,0,6
295,0,21,1,1,7.6,2.6,4,34
296,0,16,0,3,9.5,9.6,4,8
297,0,15,1,2,0.5,-6.0,2,22
298,1,7,0,2,22.5,22.5,1,7
299,0,8,1,2,23.0,23.0,0,157
300,0,7,1,2,25.2,28.3,2,127
301,1,4,0,2,21.6,24.5,1,3
302,1,9,1,3,16.7,17.3,0,48
303,0,18,0,1,16.4,17.0,4,102
304,0,12,1,1,29.3,33.7,2,60
305,0,7,1,3,22.9,23.9,2,58
306,1,0,1,2,1.2,-3.2,1,5
307,1,14,0,1,27.2,27.4,1,132
308,0,13,1,1,32.0,33.6,2,59
309,0,5,1,1,7.9,5.9,1,10
310,1,1,1,1,26.0,30.2,1,5
311,1,22,0,2,21.4,21.3,0,57
312,1,16,1,1,17.4,18.0,3,50
313,0,3,1,1,23.1,23.1,0,0
314,1,23,0,1,26.0,28.2,1,42
315,0,16,0,2,7.9,5.9,1,35
316,1,14,0,1,29.8,33.2,1,112
317,0,7,1,2,15.4,15.9,1,87
318,0,11,1,1,4.1,0.9,1,33
319,0,7,0,1,15.6,16.1,0,8
320,0,3,0,1,26.8,31.0,1,7
321,0,6,0,1,21.6,21.5,2,5
322,1,7,1,2,15.8,16.3,2,52
323,0,11,1,2,20.4,25.2,3,53
324,1,2,1,1,18.0,18.7,1,1
325,0,13,1,2,11.2,11.4,1,66
326,0,22,1,1,8.4,6.5,2,27
327,1,14,0,2,12.1,12.4,3,54
328,1,15,0,2,15.3,15.8,0,79
329,0,12,1,1,31.9,34.4,0,70
330,0,9,1,1,2.1,-3.2,3,66
331,0,12,1,1,25.4,28.6,0,81
332,1,10,0,2,15.1,15.5,1,79
333,0,22,1,3,19.0,19.7,4,38
334,1,20,1,2,2.9,-1.4,1,18
335,0,20,1,1,27.7,29.0,0,130
336,1,2,1,1,24.0,26.0,0,2
337,0,12,1,1,10.5,10.7,4,59
338,1,23,1,1,22.3,24.2,0,18
339,0,20,1,1,4.1,-2.1,4,48
340,0,8,1,1,27.9,31.2,2,167
341,0,21,1,1,26.0,29.2,1,78
342,0,20,0,2,19.6,20.3,0,49
343,1,6,1,1,4.4,2.2,1,8
344,0,7,0,2,7.8,5.8,1,39
345,0,23,1,1,19.3,20.0,2,21
346,0,21,1,2,21.7,23.6,2,56
347,1,14,0,1,1.2,-5.2,4,28
348,0,16,1,1,29.3,33.7,2,113
349,0,4,1,1,22.5,22.4,1,1
350,0,8,1,1,23.4,25.4,1,205
351,1,6,1,3,15.1,15.6,1,24
352,1,6,0,1,7.2,5.2,1,4
353,1,0,0,1,10.9,11.1,1,28
354,1,0,1,1,7.9,6.9,0,4
355,0,10,1,2,12.5,12.8,2,33
356,1,18,1,1,1.2,0.8,0,41
357,0,13,1,1,20.0,23.8,3,91
358,0,13,1,1,32.0,35.6,0,71
359,1,6,1,1,11.0,11.2,2,18
360,1,23,1,1,30.0,38.4,1,33
361,1,8,1,1,4.9,1.7,1,143
362,0,17,1,1,12.0,12.3,2,117
363,0,7,0,1,14.1,14.5,0,23
364,1,11,1,1,3.8,-2.4,4,18
365,0,22,0,1,16.6,17.2,2,28
366,1,4,1,1,4.5,1.3,1,0
367,1,12,1,1,32.3,35.9,2,48
368,1,19,1,2,4.0,0.8,1,43
369,0,9,1,2,8.4,6.5,1,69
370,1,16,0,3,24.2,26.2,2,105
371,1,1,0,1,4.2,4.0,0,34
372,0,3,1,1,18.7,19.4,0,0
373,1,3,1,1,20.3,23.1,0,0
374,1,21,1,2,8.7,6.8,1,38
375,0,22,1,2,6.5,3.4,2,30
376,1,10,0,1,30.8,33.3,2,78
377,1,9,0,2,24.0,26.0,0,50
378,0,18,1,2,20.7,25.5,3,173
379,0,17,0,3,2.3,-4.0,4,36
380,0,3,0,1,7.1,6.1,0,5
381,1,2,0,1,7.8,6.8,0,15
382,1,14,1,2,9.3,8.4,0,25
383,1,12,1,2,18.4,19.1,4,27
384,1,10,1,3,20.1,19.9,1,19
385,0,0,1,1,3.3,-1.0,2,3
386,0,18,1,2,30.0,33.5,2,206
387,0,2,1,1,8.7,5.8,2,1
388,1,15,1,2,1.1,0.7,0,12
389,1,1,1,1,15.9,16.5,0,5
390,1,21,1,1,14.0,14.4,2,30
391,0,3,1,2,17.5,18.1,0,0
392,0,21,1,2,6.7,5.7,0,56
393,0,10,1,1,12.2,12.5,1,48
394,1,8,0,2,4.2,1.0,2,17
395,0,22,1,2,9.0,8.1,0,41
396,0,21,1,2,17.0,17.6,1,55
397,0,10,1,1,18.2,18.9,2,43
398,1,10,1,2,23.4,25.4,2,36
399,0,6,1,1,8.1,7.1,0,35
400,1,17,1,1,15.7,16.2,0,55
401,0,3,1,2,21.4,25.3,2,0
402,1,22,0,1,18.2,18.9,3,39
403,0,10,1,1,20.8,22.7,2,44
404,1,3,1,1,13.2,13.6,0,2
405,1,12,1,2,8.9,6.0,3,28
406,1,21,1,1,15.8,16.3,1,54
407,0,11,0,1,20.8,23.7,2,154
408,0,14,1,1,8.2,7.2,0,40
409,1,23,1,1,24.1,26.1,1,38
410,0,8,1,1,7.2,3.2,3,130
411,1,0,1,1,21.5,25.4,0,6
412,1,1,1,1,9.7,9.8,3,2
413,0,15,1,1,29.8,33.2,0,77
414,1,8,1,1,22.9,24.9,1,134
415,0,1,1,1,21.7,24.6,1,2
416,0,19,1,2,18.8,19.5,2,113
417,1,22,0,1,29.4,34.8,1,37
418,0,15,1,1,25.4,26.6,4,80
419,1,5,0,1,10.7,10.9,2,0
420,0,22,0,1,15.2,15.7,0,27
421,0,9,1,1,11.2,11.4,2,89
422,0,16,0,1,34.0,37.7,2,114
423,0,7,0,2,7.3,4.3,2,14
424,1,18,0,2,13.2,13.6,0,47
425,0,18,1,1,18.3,19.0,1,133
426,0,22,1,1,4.0,2.8,0,37
427,0,18,1,1,20.2,24.0,2,163
428,0,4,1,1,21.4,23.3,2,0
429,0,14,0,2,3.6,0.3,0,24
430,1,15,1,1,31.0,33.5,2,37
431,0,15,1,1,17.8,18.4,3,68
432,0,17,1,3,10.4,10.6,2,175
433,0,16,0,1,8.4,5.5,3,81
434,1,9,0,1,21.8,23.7,2,53
435,1,16,1,3,14.0,14.4,2,26
436,0,15,1,1,22.6,24.6,1,71
437,1,14,1,2,8.9,6.0,3,26
438,1,22,1,1,6.8,3.8,2,13
439,0,7,1,1,22.1,24.0,0,135
440,1,13,1,1,31.3,31.8,3,54
441,0,0,0,1,21.5,25.4,2,45
442,1,13,1,2,9.3,6.4,3,16
443,0,23,1,1,25.9,29.1,1,36
444,1,5,0,1,19.2,19.9,0,3
445,1,3,1,1,5.2,5.0,0,0
446,0,19,1,1,27.4,31.7,1,159
447,0,9,1,1,14.1,14.5,0,91
448,1,10,0,1,6.8,5.8,1,64
449,1,21,1,1,20.2,25.0,3,63
450,0,19,0,1,15.8,16.3,2,95
451,0,16,0,1,26.2,27.4,3,156
452,1,5,1,1,16.9,17.5,1,7
453,0,2,1,1,7.7,5.7,1,2
454,1,10,0,1,32.3,37.9,2,67
455,0,2,1,2,6.2,4.1,1,1
456,0,11,0,2,4.4,-0.8,2,56
457,0,0,1,3,9.2,6.3,3,0
458,1,12,1,1,18.0,18.7,2,16
459,1,15,1,3,5.7,1.6,2,19
460,1,9,1,2,0.8,-1.7,0,66
461,0,8,1,2,21.9,21.8,0,147
462,0,23,0,2,18.1,18.8,2,26
463,1,14,1,1,28.4,28.7,1,48
464,1,14,1,1,2.1,-2.2,2,19
465,0,7,0,1,-0.9,-3.4,0,4
466,1,0,0,1,14.7,15.1,0,26
467,0,17,0,2,9.5,9.6,2,71
468,1,1,1,1,7.5,7.5,0,3
469,1,7,1,1,15.9,16.5,2,102
470,1,9,0,1,-2.8,-10.5,3,8
471,0,4,1,2,17.1,17.7,1,1
472,1,22,0,2,9.5,9.6,0,20
473,0,4,1,1,20.4,24.2,2,3
474,1,10,0,1,25.1,27.2,5,42
475,0,14,1,1,25.9,27.1,0,66
476,0,9,1,1,9.4,6.5,3,73
477,1,2,1,3,17.9,18.6,0,2
478,0,12,0,1,17.9,18.6,2,106
479,1,12,1,1,15.8,16.3,2,31
480,1,6,1,1,2.7,-1.6,2,8
481,0,21,0,1,11.8,12.1,1,41
482,0,10,0,1,26.3,29.5,3,97
483,1,18,1,3,6.8,3.8,2,18
484,1,10,1,2,26.0,28.2,1,45
485,0,3,1,2,4.0,3.8,0,0
486,1,2,1,3,21.3,23.2,1,1
487,1,12,1,1,24.7,26.8,1,71
488,1,15,0,3,7.6,3.6,3,40
489,0,12,1,1,17.9,18.6,3,88
490,1,1,1,2,0.9,-3.5,2,2
491,0,1,1,1,24.3,26.3,1,4
492,1,9,0,2,15.0,15.4,2,53
493,0,12,1,1,9.2,6.3,2,71
494,1,5,0,2,0.8,-2.7,1,0
495,1,5,1,1,14.3,14.7,2,6
496,0,18,1,1,17.2,17.8,3,133
497,1,7,0,1,2.5,-0.8,1,8
498,1,17,1,1,24.9,27.0,1,171
499,0,17,0,1,14.7,15.1,2,92
500,1,9,1,2,15.8,16.3,1,69
501,1,1,1,2,1.6,-1.8,1,0
502,0,4,1,1,26.3,29.5,0,1
503,0,14,1,1,30.8,32.3,1,61
504,1,12,1,2,22.2,23.1,0,57
505,1,3,1,1,2.0,-2.3,2,1
506,1,10,1,2,17.4,18.0,2,38
507,1,2,0,2,1.0,-1.4,0,6
508,1,3,0,1,11.2,11.4,1,7
509,0,0,0,1,10.2,10.3,1,22
510,0,5,1,2,19.8,24.6,2,10
511,1,7,1,2,12.7,13.0,1,94
512,1,16,0,1,25.5,27.7,0,119
513,0,3,0,1,9.2,6.3,2,6
514,1,6,1,1,16.9,17.5,3,31
515,0,20,1,1,20.9,23.8,0,117
516,1,2,0,2,0.6,-4.9,2,2
517,0,16,0,2,22.9,24.9,0,90
518,1,16,1,1,25.3,27.4,3,71
519,0,21,1,2,17.3,17.9,1,71
520,0,22,0,1,18.1,18.8,0,32
521,1,4,0,2,11.1,11.3,2,3
522,0,17,1,1,18.4,19.1,1,187
523,0,17,0,1,33.6,36.2,2,124
524,1,10,1,2,8.6,6.7,1,31
525,0,10,0,1,8.8,5.9,3,83
526,1,8,1,1,20.7,24.6,2,121
527,0,7,1,1,4.4,3.2,0,68
528,1,16,1,1,17.6,18.2,2,41
529,0,16,0,1,11.8,12.1,3,103
530,0,18,1,3,5.0,0.8,2,10
531,1,12,1,1,1.6,-0.8,0,16
532,1,5,1,3,-1.9,-2.5,0,0
533,1,1,1,1,6.4,6.3,0,3
534,0,20,0,2,23.1,25.1,1,89
535,0,5,1,1,17.8,18.5,0,9
536,1,4,0,1,4.2,4.0,0,3
537,1,1,1,1,13.5,13.9,2,2
538,0,14,1,2,17.6,18.2,1,42
539,1,15,1,1,20.4,22.2,2,50
540,1,4,1,1,1.3,-2.1,1,0
541,0,18,1,1,16.5,17.1,3,134
542,1,18,1,1,7.7,3.7,2,112
543,0,8,0,1,24.1,26.1,2,42
544,0,1,0,1,21.8,23.7,1,28
545,0,12,0,1,14.5,14.9,0,158
546,1,17,1,3,12.7,13.0,2,68
547,0,0,1,1,21.6,25.5,1,13
548,1,16,1,1,2.2,-2.1,2,23
549,1,2,1,1,18.7,19.4,2,4
550,1,16,0,1,8.6,7.7,0,44
551,0,18,1,1,29.9,35.3,2,195
552,1,16,1,1,24.7,27.8,2,59
553,1,3,0,1,27.2,29.4,1,12
554,0,18,0,1,0.8,-3.7,2,30
555,1,15,0,1,26.7,27.9,2,121
556,1,6,0,2,21.4,20.3,0,0
557,1,9,1,3,18.1,18.8,0,32
558,1,15,1,1,13.2,13.5,1,50
559,0,8,1,3,6.9,4.9,1,127
560,0,9,1,2,15.6,16.1,0,85
561,1,18,1,1,26.7,30.9,0,159
562,0,5,1,2,22.0,22.9,1,11
563,0,12,1,1,11.8,12.1,2,85
564,1,18,0,1,11.5,11.8,1,60
565,1,22,1,1,21.1,25.0,1,35
566,1,10,1,2,15.9,16.5,2,39
567,0,19,1,1,8.4,5.5,3,63
568,1,5,1,1,22.6,23.6,0,7
569,0,21,1,1,7.9,6.9,0,34
570,1,11,1,2,22.0,22.9,2,46
571,0,1,1,3,19.5,20.2,3,3
572,0,9,0,2,-0.5,-6.0,2,15
573,0,4,1,2,5.9,4.8,0,0
574,1,11,0,2,10.3,10.5,1,59
575,1,18,0,1,7.2,5.2,1,9
576,0,9,0,1,-2.7,-7.3,1,22
577,0,15,1,1,35.0,37.8,1,62
578,0,5,1,1,15.7,16.2,2,10
579,0,2,1,1,21.3,23.2,0,4
580,0,6,1,2,16.9,17.5,0,36
581,0,17,1,1,14.0,14.4,3,143
582,1,23,0,1,7.3,5.3,1,15
583,0,19,1,1,28.9,33.2,1,163
584,0,17,1,1,8.0,6.0,1,101
585,0,23,1,1,3.7,0.4,1,22
586,0,16,1,1,23.1,25.1,1,147
587,0,10,0,1,18.9,19.6,1,121
588,0,20,1,1,13.6,14.0,1,83
589,0,7,1,1,15.1,15.6,0,139
590,1,1,0,1,3.3,-0.0,1,16
591,0,6,0,1,16.5,17.1,1,8
592,0,3,0,1,21.5,23.4,0,11
593,0,13,0,1,5.8,3.7,1,66
594,1,7,0,2,10.4,10.6,1,0
595,0,10,0,2,4.7,0.5,2,37
596,1,7,1,1,11.6,11.9,2,92
597,0,22,1,1,22.7,24.7,3,47
598,1,12,1,1,7.9,3.9,3,28
599,0,3,1,1,26.0,29.2,0,0
600,1,23,1,1,15.6,16.1,0,40
601,1,14,1,2,8.9,6.0,3,26
602,1,1,0,2,24.2,26.2,0,23
603,0,10,1,1,34.2,39.9,1,34
604,1,1,0,2,19.2,19.9,0,23
605,1,12,0,1,26.5,26.7,1,132
606,0,6,1,2,2.3,-0.0,0,17
607,1,5,1,1,6.4,6.3,0,8
608,1,21,1,1,24.9,27.0,1,69
609,0,1,1,1,16.1,16.7,0,5
610,0,10,1,1,24.5,26.6,0,56
611,1,23,1,1,8.5,7.6,0,14
612,1,13,1,1,24.3,26.3,2,41
613,0,18,1,1,18.0,18.7,4,196
614,1,0,1,1,24.7,27.8,0,8
615,0,20,1,1,23.6,25.6,0,108
616,1,6,1,2,25.9,31.1,0,32
617,1,11,1,2,27.1,29.3,2,49
618,0,21,1,1,6.0,5.9,0,46
619,1,15,1,2,13.1,13.4,0,46
620,1,18,0,1,8.4,5.4,2,62
621,1,5,1,1,20.5,23.3,1,6
622,1,16,1,1,29.1,30.5,2,92
623,0,19,1,2,10.0,10.1,2,95
624,0,13,0,1,15.7,16.2,0,151
625,0,23,1,1,22.3,22.2,1,42
626,1,8,1,2,23.0,24.0,4,119
627,1,3,1,3,21.4,20.3,0,0
628,1,9,1,2,26.7,29.9,1,68
629,1,3,0,2,25.3,28.4,2,9
630,1,2,1,3,18.0,18.7,1,1
