總日照 (小時)  - 京士柏
Total Bright Sunshine (hours) - King's Park
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2020,6,14,1.7,C
2020,6,15,7.5,C
2020,6,16,3.3,C
2020,6,17,6.2,C
2020,6,18,8.8,C
2020,6,19,11.6,C
2020,6,20,10.8,C
2020,6,21,10.0,C
2020,6,22,8.3,C
2020,6,23,10.1,C
2020,6,24,7.0,C
2020,6,25,4.9,C
2020,6,26,4.6,C
2020,6,27,6.0,C
2020,6,28,10.2,C
2020,6,29,9.5,C
2020,6,30,9.4,C
2020,7,1,3.8,C
2020,7,2,4.4,C
2020,7,3,3.7,C
2020,7,4,6.9,C
2020,7,5,9.4,C
2020,7,6,8.9,C
2020,7,7,9.6,C
2020,7,8,5.7,C
2020,7,9,3.9,C
2020,7,10,2.6,C
2020,7,11,6.0,C
2020,7,12,9.2,C
2020,7,13,11.5,C
2020,7,14,12.0,C
2020,7,15,10.5,C
2020,7,16,10.1,C
2020,7,17,10.5,C
2020,7,18,11.3,C
2020,7,19,10.0,C
2020,7,20,5.8,C
2020,7,21,9.6,C
2020,7,22,6.7,C
2020,7,23,9.8,C
2020,7,24,11.1,C
2020,7,25,9.5,C
2020,7,26,10.5,C
2020,7,27,9.8,C
2020,7,28,11.1,C
2020,7,29,6.1,C
2020,7,30,9.5,C
2020,7,31,0.2,C
2020,8,1,2.5,C
2020,8,2,0.6,C
2020,8,3,0.4,C
2020,8,4,3.2,C
2020,8,5,2.4,C
2020,8,6,8.6,C
2020,8,7,8.5,C
2020,8,8,10.7,C
2020,8,9,10.0,C
2020,8,10,9.3,C
2020,8,11,3.5,C
2020,8,12,0.9,C
2020,8,13,5.0,C
2020,8,14,8.7,C
2020,8,15,9.1,C
2020,8,16,9.5,C
2020,8,17,4.3,C
2020,8,18,1.5,C
2020,8,19,0.1,C
2020,8,20,9.0,C
2020,8,21,11.0,C
2020,8,22,9.4,C
2020,8,23,8.8,C
2020,8,24,11.3,C
2020,8,25,10.9,C
2020,8,26,7.8,C
2020,8,27,4.2,C
2020,8,28,5.0,C
2020,8,29,8.3,C
2020,8,30,6.1,C
2020,8,31,5.1,C
2020,9,1,8.8,C
2020,9,2,8.1,C
2020,9,3,7.1,C
2020,9,4,4.6,C
2020,9,5,3.8,C
2020,9,6,7.8,C
2020,9,7,4.4,C
2020,9,8,0.1,C
2020,9,9,1.4,C
2020,9,10,3.3,C
2020,9,11,3.0,C
2020,9,12,4.8,C
2020,9,13,8.2,C
2020,9,14,3.9,C
2020,9,15,0.3,C
2020,9,16,6.8,C
2020,9,17,3.3,C
2020,9,18,1.3,C
2020,9,19,1.8,C
2020,9,20,8.1,C
2020,9,21,2.3,C
2020,9,22,8.9,C
2020,9,23,8.9,C
2020,9,24,4.3,C
2020,9,25,4.5,C
2020,9,26,2.4,C
2020,9,27,2.7,C
2020,9,28,0.1,C
2020,9,29,2.1,C
2020,9,30,4.2,C

*** 沒有數據/unavailable
# 數據不完整/data incomplete
C 數據完整/data Complete
